Índice de Precios de Consumo (IPC)
Resultados por comunidades autónomas
Ponderaciones por comunidades autónomas de rúbricas
Unidades:   Tanto por mil

,2020,2019,2018,2017,
Nacional,
    Huevos,3,136,3,228,3,024,3,176,
    Leche,7,601,7,528,7,994,8,293,
    Productos lácteos,14,068,14,378,14,566,15,045,
    Aceites y grasas,7,65,8,111,8,66,8,222,
    Frutas frescas,17,53,18,347,17,15,17,229,
    Frutas en conserva y frutos secos,2,732,2,529,2,63,2,678,
    Legumbres y hortalizas frescas,9,017,8,427,8,651,8,783,
    Preparados de legumbres y hortalizas,7,334,7,148,7,358,7,416,
    Patatas y sus preparados,2,825,2,702,2,687,2,721,
    Café, cacao e infusiones,5,451,5,128,5,422,5,388,
    Azúcar,0,752,0,708,0,789,0,794,
    Otros preparados alimenticios,15,216,15,191,15,424,15,325,
    Agua mineral, refrescos  y zumos,6,721,6,718,6,662,6,905,
    Bebidas alcohólicas,8,901,9,109,8,858,8,78,
    Tabaco,19,915,20,315,21,235,21,661,
    Prendas de vestir de hombre,21,012,21,78,21,263,21,636,
    Prendas de vestir de mujer,26,566,27,845,26,626,26,939,
    Prendas de vestir de niño y bebé,7,126,7,223,7,226,7,359,
    Complementos y reparaciones de prendas de vestir,2,678,2,655,2,661,2,674,
    Calzado de hombre,6,855,7,242,7,332,7,45,
    Calzado de mujer,7,79,8,019,8,6,8,524,
    Calzado de niño,2,641,2,637,2,83,2,83,
    Reparación de calzado,0,291,0,317,0,338,0,34,
    Vivienda en alquiler,31,039,31,158,31,103,30,572,
    Calefacción, alumbrado y distribución de agua,66,642,67,619,66,914,66,418,
    Conservación de la vivienda,39,068,37,782,38,938,39,332,
    Muebles y revestimientos de suelo,11,644,12,498,11,703,11,878,
    Textiles y accesorios para el hogar,4,676,4,739,4,95,5,014,
    Electrodomésticos y reparaciones,8,905,8,929,9,037,9,262,
    Utensilios y herramientas para el hogar,4,713,5,076,5,028,4,825,
    Artículos no duraderos para el hogar,12,669,12,728,12,727,12,872,
    Servicios para el hogar,14,507,13,953,14,289,14,115,
    Servicios médicos y similares,16,544,16,498,21,973,21,895,
    Medicamentos y material terapéutico,23,577,22,78,18,539,18,526,
    Transporte personal,148,163,149,416,140,792,140,611,
    Transporte público urbano,7,296,6,854,7,074,6,99,
    Transporte público interurbano,8,33,7,925,8,332,8,161,
    Comunicaciones,35,546,34,82,33,933,33,523,
    Objetos recreativos,19,793,20,054,20,689,20,639,
    Publicaciones,8,047,7,95,8,426,8,965,
    Esparcimiento,30,061,30,075,30,018,29,812,
    Educación infantil y primaria,4,116,4,127,4,253,4,31,
    Educación secundaria,2,192,2,18,2,205,2,191,
    Educación universitaria,4,812,4,783,4,984,5,007,
    Otros gastos de enseñanza,4,396,4,441,4,622,4,504,
    Artículos de uso personal,28,196,27,339,28,274,27,684,
    Turismo y hostelería,119,878,123,41,122,822,120,139,
    Otros bienes y servicios,36,638,37,018,36,695,36,666,
07 Castilla y León,
    Cereales y derivados,17,479,16,308,17,43,17,912,
    Pan,14,146,12,917,13,844,14,121,
    Carne de vacuno,11,939,11,218,11,987,12,185,
    Carne de ovino,3,9,3,708,3,817,3,911,
    Carne de porcino,9,875,9,337,9,134,9,81,
    Carne de ave,8,564,8,031,8,181,8,582,
    Otras carnes,23,83,22,695,23,879,24,249,
    Pescado fresco y congelado,13,846,13,121,14,021,14,208,
    Crustáceos, moluscos y preparados de pescado,13,229,12,736,13,208,13,232,
    Huevos,2,816,2,902,2,718,2,854,
    Leche,8,4,8,313,8,825,9,15,
    Productos lácteos,14,428,14,779,14,938,15,429,
    Aceites y grasas,6,03,6,436,6,894,6,522,
    Frutas frescas,19,084,19,989,18,681,18,767,
    Frutas en conserva y frutos secos,2,702,2,504,2,603,2,65,
    Legumbres y hortalizas frescas,10,024,9,376,9,624,9,771,
    Preparados de legumbres y hortalizas,5,591,5,454,5,613,5,658,
    Patatas y sus preparados,2,445,2,34,2,327,2,356,
    Café, cacao e infusiones,4,186,3,941,4,166,4,139,
    Azúcar,0,608,0,573,0,638,0,643,
    Otros preparados alimenticios,12,468,12,459,12,654,12,573,
    Agua mineral, refrescos  y zumos,7,323,7,327,7,264,7,528,
    Bebidas alcohólicas,7,65,7,801,7,616,7,591,
    Tabaco,18,733,19,124,19,987,20,387,
    Prendas de vestir de hombre,17,176,17,818,17,393,17,697,
    Prendas de vestir de mujer,23,992,25,166,24,061,24,343,
    Prendas de vestir de niño y bebé,7,568,7,677,7,68,7,82,
    Complementos y reparaciones de prendas de vestir,1,959,1,947,1,952,1,962,
    Calzado de hombre,5,59,5,911,5,983,6,079,
    Calzado de mujer,7,569,7,798,8,361,8,287,
    Calzado de niño,2,683,2,682,2,877,2,877,
    Reparación de calzado,0,206,0,224,0,239,0,24,
    Vivienda en alquiler,27,291,27,418,27,365,26,897,
    Calefacción, alumbrado y distribución de agua,76,637,77,415,75,76,75,349,
